entry_time,exit_time,signal,entry,exit,pnl,reason,bars_held
2025-01-06 21:00:00,2025-01-06 22:30:00,BUY,1.03877,1.0385114285714285,-26.63285714285846,Stop Loss,6
2025-01-06 21:15:00,2025-01-06 23:15:00,BUY,1.0391,1.0383799999999999,-77.76000000000583,Stop Loss,8
2025-01-07 07:15:00,2025-01-07 07:45:00,BUY,1.04124,1.0416942857142857,50.88000000000293,Stop Loss,2
2025-01-07 07:30:00,2025-01-07 07:45:00,BUY,1.04223,1.0413117857142857,-89.98499999999731,Stop Loss,1
2025-01-07 08:30:00,2025-01-07 10:00:00,BUY,1.04153,1.04191,26.21999999998792,Stop Loss,6
2025-01-07 09:00:00,2025-01-07 10:00:00,BUY,1.0426,1.0418314285714285,-49.188571428572914,Stop Loss,4
2025-01-07 11:45:00,2025-01-07 12:30:00,BUY,1.04128,1.040042142857143,-84.17428571428066,Stop Loss,3
2025-01-07 12:00:00,2025-01-07 12:30:00,BUY,1.04092,1.0396285714285713,-87.81714285715303,Stop Loss,2
2025-01-07 14:00:00,2025-01-07 15:00:00,SELL,1.03899,1.0365900000000001,146.39999999999742,Take Profit,4
2025-01-07 14:15:00,2025-01-07 15:00:00,SELL,1.03952,1.0371628571428573,148.49999999999162,Take Profit,3
2025-01-07 15:15:00,2025-01-07 16:30:00,SELL,1.03786,1.0375085714285714,18.27428571428502,Stop Loss,5
2025-01-07 17:00:00,2025-01-08 01:30:00,SELL,1.03631,1.0351042857142858,54.25714285714145,Stop Loss,34
2025-01-07 18:30:00,2025-01-08 01:30:00,SELL,1.03521,1.0350664285714286,6.747857142853642,Stop Loss,28
2025-01-07 18:45:00,2025-01-08 01:30:00,SELL,1.0354,1.0349985714285714,19.670000000004517,Stop Loss,27
2025-01-07 20:00:00,2025-01-08 00:15:00,SELL,1.03501,1.0346907142857145,21.072857142844462,Stop Loss,17
2025-01-07 20:45:00,2025-01-07 23:45:00,SELL,1.03441,1.0344557142857143,-4.068571428564205,Stop Loss,12
2025-01-08 07:30:00,2025-01-08 08:00:00,SELL,1.03355,1.0337185714285713,-19.891428571412906,Stop Loss,2
2025-01-08 07:45:00,2025-01-08 08:15:00,SELL,1.0332,1.033585,-41.58000000000861,Stop Loss,2
2025-01-08 08:45:00,2025-01-08 11:30:00,SELL,1.03186,1.029854642857143,150.40178571428254,Take Profit,11
2025-01-08 09:00:00,2025-01-08 11:15:00,SELL,1.03244,1.0303453571428571,152.90892857143112,Take Profit,9
2025-01-08 09:15:00,2025-01-08 11:30:00,SELL,1.03206,1.029827857142857,156.25000000001108,Take Profit,9
2025-01-08 09:30:00,2025-01-08 11:30:00,SELL,1.03224,1.0299399999999999,158.70000000001315,Take Profit,8
2025-01-08 10:00:00,2025-01-08 11:30:00,SELL,1.0314,1.0289375,162.52500000000225,Take Profit,6
2025-01-08 10:15:00,2025-01-08 11:30:00,SELL,1.03146,1.0290939285714285,163.25892857143987,Take Profit,5
2025-01-08 10:30:00,2025-01-08 11:30:00,SELL,1.03141,1.029140357142857,167.9535714285767,Take Profit,4
2025-01-08 11:00:00,2025-01-08 11:30:00,SELL,1.03108,1.0287907142857142,169.40714285714708,Take Profit,2
2025-01-08 11:15:00,2025-01-08 11:30:00,SELL,1.03,1.0276642857142857,172.8428571428604,Take Profit,1
2025-01-08 11:30:00,2025-01-08 12:30:00,SELL,1.02846,1.0298800000000001,-97.98000000001372,Stop Loss,4
2025-01-08 11:45:00,2025-01-08 12:30:00,SELL,1.02972,1.02987,-10.350000000006519,Stop Loss,3
2025-01-08 14:30:00,2025-01-08 15:00:00,SELL,1.02923,1.0304071428571429,-63.56571428570934,Stop Loss,2
2025-01-08 15:30:00,2025-01-08 16:30:00,SELL,1.02987,1.0310771428571428,-71.22142857142165,Stop Loss,4
2025-01-08 17:30:00,2025-01-08 18:30:00,SELL,1.03048,1.0314778571428573,-71.84571428572362,Stop Loss,4
2025-01-08 18:45:00,2025-01-08 19:15:00,SELL,1.03102,1.0320235714285715,-87.31071428571502,Stop Loss,2
2025-01-08 19:30:00,2025-01-08 21:00:00,SELL,1.03114,1.0316892857142856,-43.94285714285573,Stop Loss,6
2025-01-08 20:30:00,2025-01-09 00:00:00,BUY,1.03148,1.0311107142857143,-37.66714285713402,Stop Loss,14
2025-01-08 21:00:00,2025-01-09 00:00:00,BUY,1.03167,1.0311578571428572,-55.823571428570645,Stop Loss,12
2025-01-08 21:45:00,2025-01-09 00:00:00,BUY,1.03174,1.0312285714285716,-62.90571428570501,Stop Loss,9
2025-01-08 22:00:00,2025-01-09 00:00:00,BUY,1.03153,1.0312385714285717,-36.42857142854838,Stop Loss,8
2025-01-09 06:45:00,2025-01-09 07:15:00,SELL,1.02999,1.0307860714285713,-98.71285714284106,Stop Loss,2
2025-01-09 07:30:00,2025-01-09 08:00:00,SELL,1.02935,1.0296514285714284,-33.7599999999867,Stop Loss,2
2025-01-09 07:45:00,2025-01-09 08:15:00,SELL,1.02907,1.0299871428571428,-96.29999999999806,Stop Loss,2
2025-01-09 09:45:00,2025-01-09 13:15:00,SELL,1.03052,1.030797857142857,-19.727857142846748,Stop Loss,14
2025-01-09 10:30:00,2025-01-09 13:15:00,SELL,1.03019,1.0308157142857142,-43.17428571428183,Stop Loss,11
2025-01-09 11:00:00,2025-01-09 13:00:00,SELL,1.03,1.0307685714285713,-56.10571428569977,Stop Loss,8
2025-01-09 11:15:00,2025-01-09 13:00:00,SELL,1.03,1.03074,-55.499999999997215,Stop Loss,7
2025-01-09 13:45:00,2025-01-09 16:30:00,SELL,1.03077,1.0291646428571428,158.9303571428573,Take Profit,11
2025-01-09 14:00:00,2025-01-09 15:30:00,SELL,1.0312,1.0296982142857143,160.6910714285601,Take Profit,6
2025-01-09 14:15:00,2025-01-09 15:00:00,BUY,1.03095,1.0302007142857141,-81.67214285716274,Stop Loss,3
2025-01-09 15:45:00,2025-01-09 18:45:00,SELL,1.02992,1.030175,-23.71500000001081,Stop Loss,12
2025-01-09 16:00:00,2025-01-09 18:45:00,SELL,1.02979,1.0301714285714285,-35.854285714282064,Stop Loss,11
2025-01-09 16:15:00,2025-01-09 18:45:00,SELL,1.02948,1.0301942857142856,-67.14285714285273,Stop Loss,10
2025-01-09 17:30:00,2025-01-09 20:30:00,SELL,1.02951,1.0302642857142859,-77.69142857145073,Stop Loss,12
2025-01-10 10:15:00,2025-01-10 13:30:00,BUY,1.03049,1.0299778571428573,-50.70214285712016,Stop Loss,13
2025-01-10 10:30:00,2025-01-10 13:30:00,BUY,1.03039,1.0300028571428572,-39.48857142855511,Stop Loss,12
2025-01-10 12:15:00,2025-01-10 13:30:00,BUY,1.03062,1.0300714285714285,-68.02285714287403,Stop Loss,5
2025-01-10 13:30:00,2025-01-10 14:15:00,SELL,1.025,1.0264907142857143,-81.98928571428898,Stop Loss,3
2025-01-10 13:45:00,2025-01-10 14:15:00,SELL,1.02558,1.0266164285714285,-50.78500000000164,Stop Loss,2
2025-01-10 15:00:00,2025-01-10 17:30:00,SELL,1.02545,1.0249414285714284,16.78285714286032,Stop Loss,10
